,MAE,Correct Answer,"point system: 1+ if correct ‘None’ or correct answer, +0.5 if not correct answer but is almost correct",,,,,,,,,,,,,,,
Class,Attributes,,Points(fill all correct + 1),Flan,Points,NormL Points,BIG ,Points,NormL Points,Alpaca,Points,NormL Points,Cohere,Points,NormL Points,GPT,Points,NormL Points
Shorts,Consumer Lifestage',None,5,Lifestage,0,0,Linen and cotton shorts with multi pockets and drawstrings.,0,"0,2",The consumers' lifestage for this product is Adults.,0,"0,8",None,1,"1,5",None,0,"0,8"
,Gender',None,,The product is for women,0,,Men's shorts,0,,None,1,,male,0,,None,1,
,If Maternity',None,,None,0,,"If it is maternity, the shorts will be in extra large size.","0,5",,None,1,,Maternity,0,,None,1,
,Length of Leg of Garment',None,,Length of Leg of Garment is 11.7 inches,0,,Shorts with no appliqués and drawstring closure.,0,,None,1,,The length of the leg of the shorts is,"0,5",,None,1,
,Type of Trousers/Shorts',Shorts,,Product_Code,0,,Striped shorts,"0,5",,Shorts,1,,None,0,,Shorts,1,
Acer Predator 15 G9-593-73FK Signature Edition Gaming Laptop,If Wireless',Wireless/None,3,None,1,1,None,1,"0,3333333333",None,1,"0,8333333333",None,1,1,None,1,"0,6666666667"
,Screen Size (Inches)',15,,15,1,,None,0,,154 inches,"0,5",,15,1,,None,0,
,Type of Personal Computer Portable',laptop/portable,,Laptop,1,,None,0,,Portable,1,,Portable,1,,Portable,1,
Girls Rainbow Aviator Sunglasses,Consumer Lifestage',Girl/Young,4,Lifestage,0,"0,5",None,0,"0,75",Teen/Youth,1,"0,75",Girl,1,"0,5",Girls,1,1
,If For Sport',None,,None,1,,None,1,,For Sport,0,,Frame made of 100% metal Lenses,0,,None,1,
,Target Gender',Girls,,None,0,,Girl,1,,Girl,1,,Girl,1,,Girls,1,
,Type of UV Protection',100.00%,,100%,1,,100%,1,,100%,1,,None,0,,100% protection against harmful UV rays,1,
"Chartpak Pickett Graphic Tape, 1/4' x 324', Matte, Black Item # 458375",If Double-Sided',None,3,None,1,1,"If double-sided, this product is for you.",0,"0,3333333333",None,1,"0,6666666667",Double-Sided,0,"0,3333333333",None,1,"0,6666666667"
,If Water Resistant',None,,None,1,,No,0,,Yes,0,,Water Resistant,0,,None,1,
,Type of Tape (DIY)',Graphic Tape,,The item was a DIY Tape,1,,Tape,1,,Chartpak Pickett Graphic Tape,1,,DIY,1,,None,0,
Ultimate Premium Quality 90 GPD pH+ Alkaline Mineral Under-Sink Reverse Osmosis Drinking Water Filter System,Type of Household Water Filter/Water Filter Cartridge',Under-Sink Reverse Osmosis Drinking Water Filter System,1,Reverse Osmosis,1,1,APEC Top Tier RO-PH90,0,0,None,1,1,Water Filter Cartridge,1,1,None,1,1
Casio Women's LTPV002G-7B Gold Stainless-Steel Quartz Watch,Base Material',Stainless-Steel,8,Stainless steel,1,"0,6875",None,0,"0,75",Stainless Steel,1,"0,75",casio-womnen-s-,0,"0,4375",Gold Stainless-Steel,1,"0,8125"
,Consumer Lifestage',None,,Lifestage,0,,None,1,,Young Adult,0,,None,1,,None,1,
,If Incorporated Broadcast Software',None,,None,1,,None,1,,None,1,,"The attribute is ""Incorporated Broadcast",0,,None,1,
,If With Alarm',None,,None,1,,None,1,,Yes,0,,With Alarm,0,,None,1,
,If With Interchangeable Face',None,,None,1,,None,1,,None,1,,None,1,,None,1,
,Target Gender',Woman/Adult/Grown/None,,None,"0,5",,Casio LTPV002G-7B Gold Stainless-Steel Quartz Watch,"0,5",,Women,1,,None,"0,5",,None,"0,5",
,Type of Watch Mechanism',Quartz,,Quartz,1,,Watch mechanism is quartz,1,,Quartz,1,,None,0,,Quartz,1,
,Wrist/Pocket Watch',Wrist Watch,,None,0,,Casio Women's LTPV002G-7B Gold Stainless Steel Quartz Watch,"0,5",,Wrist/Pocket Watch.,1,,Wrist/Pocket Watch,1,,Wrist/Pocket Watch: None,0,
Java Modeling In Color With UML: Enterprise Components and Process,Consumer Lifestage',None,3,Java Modeling In Color With UML: Enterprise Components and Process,1,"0,6666666667",None,1,"0,6666666667",None,1,"0,6666666667",None,1,"0,6666666667",None,1,1
,Content/Subject',Software Design/Java Modeling/programming,,Java,1,,None,0,,None,0,,None,0,,Java Modeling in Color with UML: Enterprise Components and Process,1,
,Property Format',None’ / HardCopy/Digital/www.togetherj.com,,Format,0,,None,1,,None,1,,None,1,,None,1,
HP LaserJet Pro MFP M426fdw Black and White Laser Printer,If Photo Printer',Yes/Photoprinter,3,"If ('All in one printer does all your printing, copying, scanning and faxing, saving time and money')","0,5","0,1666666667",None,0,"0,3333333333",None,0,"0,5",All in one printer does all your printing,1,"0,5",None,0,"0,3333333333"
,Print Colour',Yes/Prints Colour,,None,0,,None,0,,Black and White,"0,5",,Black and white,"0,5",,None,0,
,Type of Printer',Laser Printer/LaserJet,,None,0,,All in one printer,1,,Laser Printer,1,,None,0,,Laser,1,
Culebra Dining Armchair,If on Castors',None,6,None,1,1,None,1,"0,75",None,1,"0,3333333333",Contemporary,0,"0,3333333333",None,1,"0,8333333333"
,If Rocking',None,,None,1,,None,1,,None,1,,None,1,,None,1,
,If Supplied as a Flatpack (to be assembled)',None,,None,1,,None,1,,1. Is the item supplied as a Flatpack (to be assembled)?,0,,Contemporary,0,,None,1,
,If Swivel',None,,None,1,,"If Swivel is true, this chair swivels.",0,,Yes,0,,Contemporary,0,,None,1,
