"Points start at - and gets 2 if in the right tree-branch for start, can get 1 if in wrong branch but kind of correct",,,,,,,,,,,,,,,,,,
MAE - Flan,,,,MAE - BIG,,,MEA - ALPACA,,,MAE - COHERE,,,MAE- GPT,,,,,
Product,Chosen Class,Points,,Chosen Class,Points,,Chosen Class,Points,,Chosen Class,Points,,Chosen Class,Points,Correct Class,,Row Score,Max Score
Shorts,Lower Body Wear/Bottoms,4,,Clothing,2,,Clothing,2,,Lower Body Wear/Bottoms,3,,Lower Body Wear/Bottoms,4,Trousers/Shorts,,15,5
Acer Predator 15 G9-593-73FK Signature Edition Gaming Laptop,Computers,4,,Tools/Equipment - Power,1,,Computers,4,,Computers/Video Games,3,,Computers/Video Games,3,Personal Computers Portable,,15,5
Girls Rainbow Aviator Sunglasses,Personal Accessories,1,,Toys/Games,0,,Personal Accessories,1,,Headwear,1,,Headwear,1,Optic Appliances Sunglasses Ready To Wear,,4,5
"Chartpak Pickett Graphic Tape, 1/4' x 324', Matte, Black Item # 458375",Recordable Media,0,,Safety/Security/Surveillance Variety Packs,0,,Textual/Printed/Reference Materials,0,,Protective Handwear,0,,Arts/Crafts/Needlework Supplies,1,Tape (DIY),,1,5
Ultimate Premium Quality 90 GPD pH+ Alkaline Mineral Under-Sink Reverse Osmosis Drinking Water Filter System,Household Water/Beverage Equipment,4,,Home Appliances,1,,Health Enhancement,1,,Home Appliances,1,,Home Appliances,4,Household Water Filters/Water Filter Cartridges,,11,5
Casio Women's LTPV002G-7B Gold Stainless-Steel Quartz Watch,Watches,5,,Cross Segment,0,,Beauty/Personal Care/Hygiene,1,,Clothing Accessories,1,,Watches,5,Watches,,12,5
Java Modeling In Color With UML: Enterprise Components and Process,Books,4,,Tool Storage/Workshop Aids,0,,Computing,1,,Prepared/Preserved Foods,0,,Computing,1,Printed Books/Compositions,,6,5
HP LaserJet Pro MFP M426fdw Black and White Laser Printer,Computer/Video Game Peripherals,4,,Small Domestic Appliances,1,,Computing,2,,Stationery/Office Machinery,2,,Stationery/Office Machinery,2,Printers,,11,5
Culebra Dining Armchair,Household/Office Seating,4,,Household/Office Furniture/Furnishings,2,,Household/Office Furniture,3,,Household/Office Furniture/Furnishings,2,,Household/Office Seating,4,Household/Office Chairs/Stools (Non Powered),,15,5
Robot Coupe J100 Ultra Juicer with Continuous Pulp Ejection - 120 V,Home Appliances,2,,Food/Beverage/Tobacco,1,,Food/Beverage Preparation Appliances Other,4,,Food/Beverage Preparation Appliances,4,,Food/Beverage Preparation Appliances,4,Juicers,,15,5
Offset Slugging Wrench 12 Point 36MM,Wrenches/Spanners/Keys,4,,Tool Storage Other,1,,Impact Wrenches,3,,Wrenches/Spanners/Keys,4,,Wrenches/Spanners/Keys,4,Wrenches/Spanners,,16,5
Milliken Pastiche Kashmiran Marquette Ebony Area Rug,Fabric/Textile Furnishings,1,,Small Domestic Appliances,1,,Fabric/Textile Furnishings,1,,Home Appliances,1,,Ornamental Furnishings,1,Flooring Carpet,,5,5
Intel Core i5-4300U 2.9GHz 4GB,Computer Processors,5,,Tools/Equipment - Power,1,,Computer Processors,5,,Electrical Connection,1,,Computing,2,Computer Processors,,14,5
GXW Wireless 12 MP Scouting Camera,Audio Visual/Photography,1,,Small Domestic Appliances,0,,Safety/Security/Surveillance,2,,Safety/Security/Surveillance,2,,Photography/Optics,1,Surveillance Cameras/Video Recorders,,6,5
"Dell Latitude E6540 Core i5-4310 2.7GHz 16GB 256GB SSD DVD HD8790M n BT 9C 15.6"" FHD W7P64",Computers,4,,Small Domestic Appliances,1,,Personal Computers  Portable,5,,Computing,2,,Computing,2,Personal Computers Portable,,14,5
Electro-Voice RE90H Cardioid Pattern Hanging Microphone,Audio Visual Equipment,3,,Safety/Security/Surveillance Variety Packs,1,,Home Audio Equipment,3,,Musical Instrument Accessories,1,,Audio Visual Equipment,3,Microphones,,11,5
Laser Cut Leather Skirt,Lower Body Wear/Bottoms,4,,Tool Storage/Workshop Aids,0,,Clothing,2,,Skirts,5,,Skirts,5,Skirts,,16,5
Americans: Season 1 [Blu-ray] [2013] [US Import],Clothing,0,,Small Domestic Appliances,1,,Health Enhancement,0,,Household Kitchen Merchandise,1,,Audio Visual/Photography,2,DVD Players/Recorders,,4,5
Khushali Presents Embroidered Cotton Unstitched Dress Material_yellow - (code -mdkz21007),Clothing,2,,Small Domestic Appliances,0,,Clothing,2,,Clothing,2,,Clothing,2,Dresses,,8,5
Crane EE-8619 humidifier,Home Appliances,1,,Small Domestic Appliances,1,,Home Appliances,1,,Small Domestic Appliances,1,,Air Humidifiers  Portable,2,Humidifiers/Vaporisers (Powered),,6,5
Griffin TurnFolio Carrying Case (Folio) for iPad Air - Nickel Item # 376825,Household/Office Furniture/Furnishings,0,,Toys/Games,0,,Computer/Video Game Accessories Other,1,,Workshop Cloths/Rags,0,,General Electrical Hardware,1,Audio Visual Bags/Boxes/Cases/Wallets,,2,5
American Heritage Billiards Designer Vintage Oak Bar Stool with Black Leatherette Cushion,Household/Office Furniture/Furnishings,2,,Small Domestic Appliances,1,,Household/Office Seating,4,,Household/Office Furniture/Furnishings,2,,Household/Office Chairs/Stools (Powered),4,Household/Office Chairs/Stools (Non Powered),,13,5
Samsung HT-H7750 W7.1Ch Blu-ray Home Entertainment System,Audio Visual Equipment,3,,Home Appliances,1,,Home Appliances,1,,Home Appliances,1,,Audio Visual/Photography,2,DVD Players/Recorders,,8,5
Trans Globe Lighting New Century Eight-Light Black Chandelier,Fixings/Fasteners Hardware Other,1,,Small Domestic Appliances,1,,Home Appliances,1,,Home Appliances,1,,Ornamental Furnishings,1,Lighting - Fixed,,5,5
WOMEN Cotton Stretch Jogger Pants,Lower Body Wear/Bottoms,4,,Tool Storage Other,0,,Clothing,2,,Lower Body Wear/Bottoms,4,,Lower Body Wear/Bottoms,4,Pants/Briefs/Undershorts,,14,5
Vida It (Black) Bluetooth Headset For Lg - S310 - P520 - Axis - Cosmos Touch Vn270 Cell Phone - Noise Cancellation - Connect 2 Phones - Volume Control,Personal Accessories,1,,Communications,2,,Computer/Video Game Headsets,2,,Food/Beverage/Tobacco,0,,Audio Visual/Photography,2,Audio Headsets,,7,5
"Duracell Coppertop Batteries, Alkaline, AAA, 16 batteries",Tools/Equipment - Power,1,,Personal Hygiene Products,0,,Tools/Equipment - Power,1,,Household Kitchen Merchandise,1,,Small Domestic Appliances,1,Batteries,,4,5
"33"" Hammered Copper Kitchen Apron Single Basin Sink with Scroll",Household Kitchen Merchandise,1,,Small Domestic Appliances,0,,Household Kitchen Merchandise,1,,Major Cooking Appliances,0,,Plumbing/Heating/Ventilation/Air Conditioning,2,Basin/Sink Pedestals,,4,5
Replacement for FUJITSU Laptop Battery (10.8 V 48 Wh Metallic Grey 4400 mAh 6 cell Li-ion),Personal Accessories,1,,Computing,2,,Computing,2,,Computing,2,,Computing,2,Computer Power Supplies,,9,5
Nespresso 5-Cup Espresso Maker in Sugar Pearl Silver and Aeroccino Milk Frother in Black,Home Appliances,2,,Small Domestic Appliances,3,,Home Appliances,2,,Food/Beverage Preparation Appliances,4,,Small Domestic Appliances,3,Hot Beverage Makers,,14,5
Bulbrite 25W A19 E26 Green Ceramic Bulb,Light Bulbs/Tubes,5,,Small Domestic Appliances,1,,Home Appliances,1,,Home Appliances,1,,Electric Lamps/Light Bulbs/Lighting,4,Light Bulbs/Tubes,,12,5
Seal Shield Silver Seal Medical Grade Keyboard,Computer Keyboards,5,,Safety/Security/Surveillance,0,,Medical Devices,0,,Medical Devices,0,,Computing,2,Computer Keyboards,,7,5
Compatible HP CE285A - (HP 85A) (Set of 2-Pack) Black Laser Toner Cartridge - 3200 Page Yield,Computing,1,,Small Domestic Appliances,0,,Computing,1,,Electrical Supplies,1,,Stationery/Office Machinery,3,Transparencies/Acetates,,6,5
Garden Patio Wooden Wood Frame Hammock Swing Sun Bed Lounger Canopy + 2 Pillows Cream,Household/Office Furniture/Furnishings,1,,Household/Office Furniture/Furnishings,1,,Camping,1,,Hammocks,4,,Garden Loungers,5,Garden Loungers,,12,5
APC Door Lock Assembly,Door Hardware,2,,Work Benches,0,,Door Hardware,2,,Workshop Aids,1,,Safety/Security/Surveillance,2,Locking Devices,,7,5
Evedonsho Women Rubber Gray Rain Boot,General Purpose Footwear,4,,Clothing Accessories,1,,Footwear,2,,Boots  General Purpose,5,,Footwear,2,Boots,,14,5
Alexander Wang Women's Draped Bustier T-Shirt Dress - Onyx,Clothing,2,,Small Domestic Appliances,0,,Clothing,2,,Dresses,5,,Clothing,2,Dresses,,11,5
