Class,MAVE,Correct Answer,Flan - MAVE,Flan-Points,,BIG - MAVE,BIG - Points,,Alpaca - MAVE,Alpaca - Points,,Cohere - MAVE,Cohere - Points,,GPT - MAVE,Points,
Shorts,Pattern,Stripes,Pattern is Stripes,1,1,Striped high waisted pants,"0,5","0,25","Plain weave, stripes.",1,"0,5",Attribute,0,"0,5",stripes,1,1
,Active Style,None,None,1,,"Striped, wide leg, high waisted shorts in a linen and cotton blend.",0,,Yes,0,,None,1,,None,1,
Acer Predator 15 G9-593-73FK Signature Edition Gaming Laptop,Screen Size,15,15,1,"0,6875",1366x768,1,"0,875",15 inches,1,"0,375",15,1,"0,375",None,0,"0,6875"
,Processor Brand,Intel,Intel,1,,Acer,0,,Intel,1,,Acer,0,,Intel Core i7,1,
,Number of Cores,None,6th Gen,0,,None,1,,6,0,,6,0,,6th Gen Intel Core i7,0,
,Processor Speed,None,6th Gen Intel Core i7,"0,5",,None,1,,6th Gen Intel Core i7,1,,Processor Speed,0,,6th Gen Intel Core i7,"0,5",
,Resolution,None,None,1,,None,1,,1920x1080.,0,,Resolution,1,,None,1,
,Battery Life,None,None,1,,None,1,,6 hours,0,,16GB of memory Dual SSD and HDD,0,,None,1,
,Refresh Rate,None,Acer Predator 15 G9-593-73FK Signature Edition Gaming Laptop,0,,None,1,,120 Hz,0,,60 Hz,0,,None,1,
,Weight,None,None,1,,None,1,,4.4 kg,0,,None,1,,None,1,
Girls Rainbow Aviator Sunglasses,Silhouette,Aviator,Silhouette is aviator,1,"0,875",Rainbow Aviator Sunglasses for girls,1,"0,5",Aviator Sunglasses.,1,"0,5",Aviator,1,"0,25",None,0,"0,75"
,Lens Color,None,Lenses,"0,5",,Pink,0,,Plastic,0,,Lens Color: Rainbow,0,,None,1,
,Baby Department,None,None,1,,None,1,,Girls Rainbow Aviator Sunglasses,0,,Arms with rainbow plastic trim,0,,None,1,
,Toddler Department,None,None,1,,Small,0,,None,1,,Toddler Department,0,,None,1,
"Chartpak Pickett Graphic Tape, 1/4' x 324', Matte, Black Item # 458375",Type,Graphic Tape/None/Self-adhesive,"Chartpak Pickett Graphic Tape, 1/4' x 324', Matte, Black Item # 458375 is a professional touch to all artwork, including charts, graphs, signs & diagrams Self-adhesive and creep-resistant","0,5","0,5",Tape,1,1,Graphic Tape,1,1,Self-adhesive and creep,1,1,None,1,1
Ultimate Premium Quality 90 GPD pH+ Alkaline Mineral Under-Sink Reverse Osmosis Drinking Water Filter System,Type,Filter System,Description,0,0,None,0,0,None,0,0,Drinking Water,1,1,None,0,0
Casio Women's LTPV002G-7B Gold Stainless-Steel Quartz Watch,Display,White Dial/stainless-steel case,Casio Women's LTPV002G-7B Gold Stainless-Steel Quartz Watch,0,"0,625",None,0,"0,375",White,1,"0,75",Display Attribute Value: Great for,0,"0,625",25MM,1,"0,875"
