,,,,,,,,,,,,,,,,,,,
Chosen Class,Correct Class,max points,MAVE - Flan,Score,NormL Flan,MAVE - BIG,Score,NormL BIG,MAVE - Alpaca,Score,NormL Alpaca,MAVE - COHERE,Score,NormL COHERE,MAVE - GPT,Score,NormL GPT,Score Per Product,
Shorts,Shorts,4,Leg Warmers,2,"0,5",Obis,2,"0,5",Apparel & Accessories,2,"0,5",Shorts,4,1,Clothing,3,"0,75",13,
Acer Predator 15 G9-593-73FK Signature Edition Gaming Laptop,Laptops,4,Cabinet & Furniture Keyhole Escutcheons,1,"0,25",Aisle Runners,0,0,Laptops,4,1,Electrical Plug Caps,1,"0,25",Laptops,4,1,10,
Girls Rainbow Aviator Sunglasses,Sunglasses,4,Spotting Scopes,0,0,Tool Sockets,1,"0,25",Optics,1,"0,25",Sunglasses,4,1,Sunglasses,4,1,10,
"Chartpak Pickett Graphic Tape, 1/4' x 324', Matte, Black Item # 458375",Hardware Tape,4,Office Tape,1,"0,25",Transcribers & Dictation Systems,1,"0,25",Chalkboards,1,"0,25",Household Storage Bags,1,"0,25",Bulletin Board Trim,1,"0,25",5,
Ultimate Premium Quality 90 GPD pH+ Alkaline Mineral Under-Sink Reverse Osmosis Drinking Water Filter System,Water Filters,5,All-Purpose Cleaners,2,"0,4",Health Care,1,"0,2",Health Care,1,"0,2",Water Heaters,2,"0,4",Water Heaters,2,"0,4",8,
Casio Women's LTPV002G-7B Gold Stainless-Steel Quartz Watch,Watches,4,PDA Cases,0,0,Home & Garden,0,0,Electronics Accessories,1,"0,25",Watches,4,1,Watches,4,1,9,
Java Modeling In Color With UML: Enterprise Components and Process,Books,3,Educational Software,1,"0,3333333333",Ring Pillows & Holders,0,0,Computer Utilities & Maintenance Software,1,"0,3333333333",Business & Productivity Software,1,"0,3333333333",Educational Software,1,"0,3333333333",4,
HP LaserJet Pro MFP M426fdw Black and White Laser Printer,Printers,4,Cabinet & Furniture Keyhole Escutcheons,1,"0,25",Flower Girl Baskets,0,0,Copy,4,1,Electrical Plug Caps,1,"0,25",Print,1,"0,25",7,
Culebra Dining Armchair,Chairs,3,Recliners & Sleeper Chairs,3,1,Table Legs,2,"0,6666666667",Kitchen & Dining Room Chairs,3,1,Recliners & Sleeper Chairs,3,1,Kitchen & Dining Room Chairs,3,1,14,
Robot Coupe J100 Ultra Juicer with Continuous Pulp Ejection - 120 V,Juicers,5,Juicers,5,1,Ultrasonic Cleaners,2,"0,4",Food,1,"0,2",Juice,1,"0,2",Juicers,5,1,14,
Offset Slugging Wrench 12 Point 36MM,Wrenches,4,Wrenches,4,1,Impact Wrenches & Drivers,3,"0,75",Impact Wrenches & Drivers,3,"0,75",Abrasive Blasters,3,"0,75",Impact Wrenches & Drivers,3,"0,75",16,
Milliken Pastiche Kashmiran Marquette Ebony Area Rug,Rugs,4,Living Room Furniture Sets,1,"0,25",Fireplace & Wood Stove Grates,2,"0,5",Furniture Sets,1,"0,25",Rug Pads,2,"0,5",Rugs,4,1,10,
Intel Core i5-4300U 2.9GHz 4GB,Computer Processors,5,Cabinet & Furniture Keyhole Escutcheons,1,"0,2",Wall Jacks & Braces,1,"0,2",Hardware Accessories,1,"0,2",Electrical Motors,1,"0,2",Integrated Circuits & Chips,2,"0,4",6,
GXW Wireless 12 MP Scouting Camera,Surveillance Cameras,4,Digital Cameras,3,"0,75",Tripods & Monopods,2,"0,5",Surveillance Cameras,4,1,Photo Negative & Slide Storage,2,"0,5",Trail Cameras,3,"0,75",14,
"Dell Latitude E6540 Core i5-4310 2.7GHz 16GB 256GB SSD DVD HD8790M n BT 9C 15.6"" FHD W7P64",Laptops,4,Hardware,1,"0,25",Aisle Runners,0,0,Laptops,4,1,None,0,0,Laptops,4,1,9,
Electro-Voice RE90H Cardioid Pattern Hanging Microphone,Microphones,5,Microphones,5,1,Power Tool Batteries,1,"0,2",Microphone Accessories,4,"0,8",Small Engines,1,"0,2",Wireless Transmitters,3,"0,6",14,
Laser Cut Leather Skirt,Skirts,4,Obis,2,"0,5",Wedding Ceremony Supplies,0,0,Skirts,3,"0,75",Traditional Leather Pants,3,"0,75",Skirts,4,1,12,
Americans: Season 1 [Blu-ray] [2013] [US Import],DVDs & Videos,3,DVDs & Videos,3,1,Fireplace & Wood Stove Grates,0,0,Baby & Toddler,0,0,Entertainment Centers & TV Stands,1,"0,3333333333",DVDs & Videos,3,1,7,
Khushali Presents Embroidered Cotton Unstitched Dress Material_yellow - (code -mdkz21007),Dresses,4,Obis,2,"0,5",Arm Warmers & Sleeves,2,"0,5",Dresses,4,1,Dresses,4,1,Saris & Lehengas,3,"0,75",15,
Crane EE-8619 humidifier,Humidifiers,5,Humidifiers,5,1,Home Game Console Accessories,1,"0,2",Medicine & Drugs,1,"0,2",Humidifiers,5,1,Humidifiers,5,1,17,
Griffin TurnFolio Carrying Case (Folio) for iPad Air - Nickel Item # 376825,MP3 Player Cases,6,PDA Cases,2,"0,3333333333",Saw Stands,1,"0,1666666667",PDA Cases,2,"0,3333333333",Briefcases,1,"0,1666666667",Storage & Data Transfer Cables,2,"0,3333333333",8,
American Heritage Billiards Designer Vintage Oak Bar Stool with Black Leatherette Cushion,Table & Bar Stools,4,Kitchen & Dining Furniture Sets,2,"0,5",Table Legs,2,"0,5",Table & Bar Stools,4,1,Furniture,2,"0,5",Table & Bar Stools,4,1,14,
Samsung HT-H7750 W7.1Ch Blu-ray Home Entertainment System,DVD & Blu-ray Players,5,Video Game Consoles,2,"0,4",Caulking Tools,1,"0,2",Home Theater Systems,2,"0,4",Televisions,3,"0,6",Speakers,3,"0,6",11,
Trans Globe Lighting New Century Eight-Light Black Chandelier,Chandeliers,5,Lamp Shades,2,"0,4",Table Tops,1,"0,2",Bathroom Furniture Sets,1,"0,2",Ceiling Light Fixtures,4,"0,8",Chandeliers,5,1,13,
WOMEN Cotton Stretch Jogger Pants,Pants,4,Leg Warmers,2,"0,5",Pants,4,1,Apparel & Accessories,2,"0,5",Shorts,3,"0,75",Pants,4,1,15,
Vida It (Black) Bluetooth Headset For Lg - S310 - P520 - Axis - Cosmos Touch Vn270 Cell Phone - Noise Cancellation - Connect 2 Phones - Volume Control,Headphones & Headsets,5,PDA Cases,2,"0,4",Ring Pillows & Holders,0,0,Mobile Phone & Tablet Tripods & Monopods,2,"0,4",System & Power Cables,2,"0,4",Headphone Cushions & Tips,3,"0,6",9,
"Duracell Coppertop Batteries, Alkaline, AAA, 16 batteries",Batteries,5,General Purpose Batteries,5,1,Trampolines,0,0,Camera Batteries,5,1,VCRs,2,"0,4",General Purpose Batteries,5,1,17,
"33"" Hammered Copper Kitchen Apron Single Basin Sink with Scroll",Kitchen & Utility Sinks,6,Dishwasher Parts & Accessories,1,"0,1666666667",Cooktop,1,"0,1666666667",Bathroom Accessories,1,"0,1666666667",Beverage Warmers,1,"0,1666666667",Kitchen Appliances,1,"0,1666666667",5,
Replacement for FUJITSU Laptop Battery (10.8 V 48 Wh Metallic Grey 4400 mAh 6 cell Li-ion),Laptop Batteries,6,Laptops,2,"0,3333333333",Wedding Ceremony Supplies,0,0,Laptops,2,"0,3333333333",System & Power Cables,3,"0,5",Laptops,2,"0,3333333333",9,
